Application Id,Application Date,Publication Date,Country,Title,Abstract,Applicants,Inventors,y
JP269109629,22.12.2000,10.07.2002,JP,"METHOD FOR COMPOSTING GARBAGE AND LEAVES BY MICROORGANISM, AND COMPOSTING DEVICE FOR GARBAGE AND LEAVES TO EXECUTE THE METHOD","PROBLEM TO BE SOLVED: To provide a treating method by which the whole of garbage, leaves, and soil can be uniformly stirred and efficiently composted even in a narrow garden and provide a treating device for the method which is highly efficient, compact, and of outdoor installation type.SOLUTION: The treating device has a treating vessel 1 of which the upper face, the bottom face, and the front face are open. The treating vessel 1 is divided into two rooms, a treating room A and a treating room B, through a partition plate 2 vertically set at the central part inside the vessel. Each of front faces of the treating rooms A, B is composed to be freely opened/closed by shielding plates 3, 4 movable vertically to be pulled up. Soil 5 having microorganism is stored on the bottom parts of the room A, B. In a fermentation treatment, the decomposition by microorganisms is allowed to continuously proceed and newly feeding is suspended during the period of time required for decomposition. In a stirring and continuous feeding treatment, garbage and leaves are at any time fed and uniformly continuously stirred with the whole soil in the fermentation process. The fermentation treatment and the stirring and continuous feeding treatment are carried out alternately in the rooms A, B. The garbage and leaves at any time generated are continuously treated and thus a high-quality compost can be efficiently obtained.COPYRIGHT: (C)2002,JPO",KAWAHARA HIROMICHI; 河原　弘道,KAWAHARA HIROMICHI; 河原　弘道,1
DE102980381,15.10.1993,21.04.1994,DE,Verfahren und Umsetzer zum Umsetzen von in zeilenförmigen Rottereaktoren eingeschichtetem Kompost,"Es ist bekannt, daß Bioabfall bei der Kompostierung einem Rotteschwund unterliegt. Zum Ausgleich des Rotteschwunds und damit optimierter Nutzung der Rottereaktoren wird der Kompost in den Tafelmieten während und/oder nach dem Umsetzen auf die Anfangsfüllhöhe aufgeschichtet. Dies kann dadurch geschehen, daß die umgesetzte Schicht insgesamt oder in Abschnitten nochmals aufgenommen und über die umgesetzte Schicht ausgebreitet wird. Es ist auch denkbar, während des Umsetzens einen Teilstrom des aufgenommenen Komposts an weiter entfernte Abschnitte des umgesetzten Rottereaktors zu fördern und dort aufzuschichten. Das zur Durchführung der Verfahren vorgesehene Umsetzgerät hat einen drehrichtungsumkehrbaren Kettenkratzförderer, dessen Untertrum für die rückwärtsgerichtete Wiederaufnahme des Komposts offen ist.",PASSAVANT WERKE,FRESENIUS JUERGEN DIPL ING,1
CN295812870,17.10.2019,19.05.2020,CN,一种半圆弧形有机废弃物好氧发酵翻堆槽,本实用新型属于有机废弃物好氧发酵领域，尤其是一种半圆弧形有机废弃物好氧发酵翻堆槽，针对现有的翻堆槽的行走轨道容易发生磨损，需要进行更换，现有的行走轨道多采用螺丝进行固定，螺丝固定较为繁琐，且存在螺丝螺孔变大和锈蚀等情况的发生，不便于后期拆卸维修或更换的问题，现提出如下方案，其包括翻堆槽，所述翻堆槽截面为两侧半圆形结构，底部平面与两侧半圆相切，上部向内侧收口，翻堆槽内设有两个行走轨道，本实用新型中，将行走轨道的安装块对准安装槽移动即可安装行走轨道，拉动L型卡杆使其移出卡槽，移动行走轨道即可进行拆卸，便于后期拆卸和维护行走轨道，满足了人们的使用需求。,"SHANGHAI ZIXI INDUSTRIAL CO., LTD.; 上海梓惜实业有限公司",ZHOU SHILIN; 周士林; PENG FAN; 彭帆; CANG MENG; 藏梦; YAO XINGXING; 姚星星; MA CHUNYU; 马春雨,1
CN313814701,28.04.2020,11.12.2020,CN,一种好氧发酵设备的驱动结构,本实用新型公开了一种好氧发酵设备的驱动结构，涉及好氧发酵设备的驱动领域，为解决现有的驱动结构不能进行没有速度调节结构，因此不能很好的适应不同的发酵物料的搅拌和破碎驱动的问题。所述发酵罐体的顶端外表面上固定连接有变速箱体，所述变速箱体的上端外表面上固定安装有减速机，所述减速机的一端固定安装有交流电机，所述减速机的输出轴的外部固定安装有第一传动齿轮和第二传动齿轮，所述第一传动齿轮和第二传动齿轮均位于变速箱体的内部，所述第一传动齿轮和第二传动齿轮的一侧设置有第二从动齿轮和第一从动齿轮。,"LONGYAN XIN'ER TECHNOLOGY CO., LTD.; 龙岩市欣尔科技有限公司",LU YU; 卢煜; WANG YIXIN; 王以欣; WANG QIAOYUAN; 王乔源; LU LIRONG; 卢丽蓉,2
IN231450559,20.02.2017,24.08.2018,IN,A TRAY WITH INSECT NET,"A tray made of rubber or other materials having such number of vertical legs or bushes which will prevent dampness on the concrete roof. The hooks in the tray can hold the net.""The water collected in the tray prevents the crawling insects such as ants from reaching the plants. A net with height adjustable supporting pipes and crossbars to provide support to the plant and at the top a UV protection sheet is placed. A rain water storage water unit and vermi compost unit is also compactly arranged in the grow bag net so that the inconvenience of separate units could be reduced. A holder is arranged on the grow bag net to keep note for the plant details, like fertilizers used, growing conditions etc.",BIJUMON J,BIJUMON J,0
CN336637185,19.01.2021,10.09.2021,CN,用于有机肥生产用的翻抛机,本实用新型公开了一种用于有机肥生产用的翻抛机，包括墙体、翻抛机主体，两墙体之间形成堆放有机肥的容纳腔，所述翻抛机主体包括翻抛架、翻抛转轴、翻抛叶片，所述翻抛架横跨两墙体其两端设置的滑轮滑配安装在墙体上端设置的滑轨上，所述翻抛架下端伸入容纳腔内部设有支撑架，所述翻抛转轴装配在两支撑架之间，所述翻抛架上端分别安装有左电机、右电机，所述翻抛叶片安装在翻抛转轴上并伸入到堆放的有机肥内部，并通过左电机、右电机驱动对有机肥进行翻抛；所述翻抛架上端靠近左电机的位置设有固定架，固定架上设有牵引装置。该翻抛机解决了人工翻抛效率低、翻抛效果差的问题，避免在恶劣环境中人工翻抛。,"YIYANG HONGYUAN BIOLOGICAL TECHNOLOGY CO., LTD.; 益阳市弘源生物科技有限公司",SUN JIAN; 孙健; YANG ZHIQIANG; 杨志强; ZHOU DAIJIA; 周代家,1
JP267871573,09.09.1997,23.03.1999,JP,METHOD AND DEVICE FOR TREATING WASTE,"PROBLEM TO BE SOLVED: To efficiently perform composting treatment of organic waste such as dehydrated cake by automatic control. SOLUTION: A fermentation tank (a) (can body) is fixed to a pedestal (b) and arranged on a common base (c) together with the pedestal (b). A control panel (d) and a dust remover (e) are arranged on the common base (c). A load cell (f) connected to the control panel (d) is arranged between the pedestal (b) and the common base (c). Total weight of the fermentation tank (a) and the part of the pedestal (b) is detected through the load cell (f) by the control panel (d). Organic waste is supplied into the fermentation tank (a) from a feed pipe 5 of waste. Supply is stopped when weight detected by the load cell (f) reaches a set value of input. Fermentation treatment is performed by controlling the temperature of the fermentation tank (a) by control of the control panel (d) and also performing agitation of organic waste. When detection weight through the load cell (f) reaches a set value of compost weight, fermentation treatment is stopped. Discharge port 20 of compost is opened by a shutter device 21 and compost is recovered.COPYRIGHT: (C)1999,JPO",KOOG TEKUNIKA:KK; 株式会社コージーテクニカ,YAMAGUCHI NOBUO; 山口　信男,2
CN319682889,17.11.2020,23.02.2021,CN,一种微生物干法好氧发酵分解咖啡豆果胶装置,本发明涉及咖啡豆烘焙前蜜处理领域，更具体的说是一种利用Acidulo嗜热嗜酸微生物在高温微控蜜处理工艺下产生果胶分解酶分解咖啡生豆果胶，通过营造精细化的高温微控蜜处理环境，实现对咖啡生豆果胶的快速分解和促进咖啡豆粘膜(蜜)干燥，提升咖啡豆甜味和口感的厚实度。包括发酵组件、传动组件、筛分组件、底架、输入电机、驱动板、驱动滑槽，为Acidulo嗜热嗜酸微生物创造了稳定的高温好氧环境，随着加热装置启动，发酵槽内温度升高提高微生物活性，微生物利用碳水化合物快速繁殖并附着在咖啡豆表面，微生物在高温微控蜜处理环境下，新陈代谢产生有机酸和果胶分解酶进一步分解咖啡豆果胶。,CHEN NINGSHENG; 陈宁生,CHEN NINGSHENG; 陈宁生,0
CN175922732,16.03.2016,13.07.2016,CN,一种移动式翻抛机,本发明公开一种移动式翻抛机，包括翻抛机构和行走机构，行走机构包括第一行走机构和第二行走机构，第二行走机构活动连接于第一行走机构上；翻抛机构包括固设于第二行走机构上的固定轴，一端与固定轴可转动连接的链板机，固设于链板机的链板上的多个翻抛板，驱动链板机转动的翻抛动力部，及与链板机中部连接的驱动气缸；翻抛板沿链板长度方向垂直设置于链板上。本发明通过第一行走机构和第二行走机构分别实现翻抛机构的横向行走和纵向行走，以实现翻抛机构对发酵槽的全方位翻抛，同时在链板机的链板上设置翻抛板实现链板机一端伸入发酵槽内并将物料翻起，使物料随翻抛板和链板输送至另一端抛出，其翻抛效果好、作业效率高。,沙洋裕农机械有限公司,冯永孝; 梁华东; 罗严方; 冯超; 王金旺; 金晓忆; 刘芳; 童风林; 姚强,1
CN351987772,22.06.2021,11.02.2022,CN,一种高效的用于畜禽粪便覆膜好氧发酵设备,本实用新型公开了一种高效的用于畜禽粪便覆膜好氧发酵设备，包括覆盖有薄膜的发酵池，所述发酵池的底部设有多个布风槽，所述发酵池上滑动连接有横板，所述横板上固定有多个连接块，所述发酵池的一端固定有伺服电机，所述伺服电机的输出端连接有丝杆，所述丝杆贯穿所述连接块，所述连接块连接有搅拌机构，所述搅拌机构包括搅拌轴，所述搅拌轴底部的周面上连接有多个搅拌叶片，所述搅拌轴可升降连接在所述连接块上，所述发酵池的两侧设有竖板，所述竖板上设有波浪形导向滑槽，所述搅拌轴可转动连接有横杆，所述横杆与所述导向滑槽连接，所述搅拌轴在所述导向滑槽的导向作用下上下往复运动，进而对物料进行翻动，使物料混合均匀，确保反应效率。,"QINGDAO KEJI ENVIRONMENTAL TECHNOLOGY ENGINEERING CO., LTD.; 青岛科吉环境技术工程有限公司",WANG FEI; 王斐; ZHU TAO; 朱涛; DANG ZHENHUA; 党振华,0
CN132736409,16.09.2013,25.03.2015,CN,一种散尾葵无土栽培方法,"一种散尾葵有机生态型无土栽培方法，其特征在于，包括以下步骤：(1)制备基质：将锯椰糠、草碳、珍珠岩按体积比为4∶4∶2进行混合后，再按每立方米加入鸡粪和饼肥各10kg和5kg进行混合，分别置入基质槽和育苗盆内；(2)育苗：(3)幼苗定植：栽植前应做到深耕细整，清除石块、草根和树根，地平土碎，施足基肥，以农家有机肥、饼肥为主，一般每667m<sup>2</sup>施腐熟栏肥1000kg，或腐熟饼肥100kg,施用基肥要均匀撒施，（4）后期维护。","ZHANGZHOU JINNUO GARDENING CO., LTD.",DONG JINLONG; LAN YANYANG,0
CN156407932,10.05.2010,16.02.2011,CN,条垛宽度调整装置及包含其的翻抛机,本实用新型公开一种条垛宽度调整装置及包含条垛宽度调整装置的翻抛机，该条垛宽度调整装置包括：桥式对称机架；分别设置在该桥式对称机架两侧的挡料板；将该挡料板向垂直于物料条垛方向向里或向外移动的调整部件，该调整部件包括调节件和连动件，该调节件一端与该桥式对称机架连接、另一端与该连动件连接，该连动件与该挡料板连接；限制该挡料板竖直方向自由度的限制部件，该限制部件设置在该挡料板的背侧且突出于该挡料板一段距离。本实用新型可通过旋转调节件调整条垛宽度，以使翻抛机在料堆宽度增加情况下还能再骑跨在条垛上进行下一次翻堆作业。,中国农业机械化科学研究院,吴德胜; 郭景峰; 赵明杰; 马学良; 赵景华,1
CN412708008,08.09.2023,20.10.2023,CN,一种用于盐碱改良的堆肥取样装置,本发明涉及堆肥取样领域，尤其涉及一种用于盐碱改良的堆肥取样装置。本发明在对堆肥取样时，能够将不同深度的堆肥样品分隔开，且可以更加充分地将样品中的水分挤出，有效地提高堆肥样品的取样质量和取样效率，并可以减少取样过程中与样品直接接触的情况发生，安全性更高，取样更加便捷快速。本发明包括有支撑架，所述支撑架的上部一侧开设有竖直滑槽；滚轮，所述支撑架的下部两侧都转动式连接有两个滚轮；电机，所述电机设置在支撑架靠近竖直滑槽一侧的下部。本发明通过取样圆筒向下移动并插入堆肥中，对堆肥进行取样，然后取样圆筒向上摆动90度，避免样品掉落，从而完成堆肥的快速取样。,黑龙江省农业科学院大庆分院,冯鹏; 王迪; 车野; 刘冰; 宋敏超; 郑海燕; 杨柳; 齐国超; 金铃; 王丽娜; 师臣; 任翠梅; 顾鑫; 韩冰; 吴耀坤,0
CN224428592,02.03.2018,24.07.2018,CN,一种无动力曝气好氧堆肥装置,一种无动力曝气好氧堆肥装置，该装置包括采用封闭腔体的堆肥槽，一端插入堆肥槽内并安装在堆肥槽侧壁上的进气管，一端插入堆肥槽内并安装在堆肥槽顶部的排气管和同轴固定安装在排气管的另一端的无动力风机。本发明的一种无动力曝气好氧堆肥装置，通过采用无动力风机结构，利用好氧发酵产生的堆肥槽内外气压差，推动无动力风机转动，将堆肥槽内的高温、高湿、低氧气体带出堆肥槽，同时将堆肥槽外的新鲜气体带入堆肥槽内，满足物料好氧发酵要求；而且无动力风机转速能够根据内外空气压力差大小自动调整，在堆肥高温阶段转速高，在堆肥低温阶段转速低，匹配堆肥曝气需求，曝气效果好。,ACADEMY OF PLANNING AND DESIGNING OF THE MINISTRY OF AGRICULTURE; 农业部规划设计研究院,CHENG HONGSHENG; 程红胜; ZHAO LIXIN; 赵立欣; MENG HAIBO; 孟海波; SHEN YUJUN; 沈玉君; ZHOU HAIBIN; 周海宾; DING JINGTAO; 丁京涛; ZHANG XI; 张曦; WANG JIAN; 王健,1
CN275681226,06.08.2019,18.10.2019,CN,一种立式无机械搅拌仓筒好氧反应器及其使用方法,本发明公开了一种立式无机械搅拌仓筒好氧反应器及其使用方法，涉及好氧装置技术领域，包括反应器壳体，挡板组件设置在反应器壳体内；曝气组件设置在挡板组件上，用于向反应器壳体内注入氧气；以及进料螺旋输送机，进料螺旋输送机包括套管，套管的外管通过排空气管与反应器壳体的内腔连通，套管的内管通过进料管与反应器壳体的内腔连通。本发明的有益效果是，利用好氧发酵后产生的热量给物料预热，提高发酵效率，降低能耗；可避免传统机械搅拌能耗高、维护维修成本高、长期运行难度大的问题，不采用机械搅拌的情况下，在特定的曝气组件和挡板组件配合下，使物料在折线形的运行轨道内有适宜的活动范围，满足物料的好氧发酵需要，提高发酵效率。,JIANG YONG; 蒋勇,JIANG YONG; 蒋勇,2
JP271332149,27.09.2006,10.04.2008,JP,"DRY, AGITATING AND CONTINUOUS TYPE METHOD FOR FERMENTING METHANE GAS AND DEVICE FOR THE SAME","PROBLEM TO BE SOLVED: To provide a dry, agitating and continuous type method for fermenting methane, capable of producing the methane gas from organic waste materials having a high solid material concentration in a good efficiency, and a device for the same.SOLUTION: This dry, agitating and continuous type method for fermenting methane comprises a process of carrying in the organic waste materials, a process of adjusting the water content of the organic waste materials by using an aerobic microorganism group, a process of conveying the organic waste materials by an air tight type taking-in conveyer, and a process of agitating the organic waste materials up and down by an agitating conveyer traveling on a rail installed in a methane main fermentation vessel while spraying methane fermentation bacteria solution, housing the methane gas by a gas hood stretched in the methane main fermentation vessel, sucking and recovering the methane gas from a methane gas-taking out port installed at the upper part of the methane main fermentation vessel and also conveying out the remaining organic waste materials in the methane main fermentation vessel by utilizing an air tight type taking-out conveyer to a compost-maturing yard.COPYRIGHT: (C)2008,JPO&INPIT",JONKO:KK; 有限会社ジョンコ,ASANO TACHIHIKO; 浅野　太刀彦; NAKAMURA YASUO; 中村　安男,0
CN332067800,10.08.2020,20.07.2021,CN,一种有机肥抛翻机,本实用新型公开了一种有机肥抛翻机，包括底座、支撑板和固定板；底座：为方形环状结构，底座的前后两侧面设置有连接板，且连接板的相对外侧面呈线性阵列设置有承重轮，连接板的相对面右侧安装有第一电机，且两个第一电机的输出轴端部分别与对应的承重轮的轴部固定连接，同侧的承重轮之间通过履带传动连接；支撑板：共设有两块，两块支撑板分别设置于底座的上表面前后两端，且两块支撑板的相对面之间上端左侧安装有辅料箱，辅料箱的上端左侧设置有进料口，在翻抛过程中能够对翻抛过的有机肥进行辅料的添加，且加料功能在设定好之后能够自动运行，从而实现对有机肥的自动加料，进而使设备能够适用于更多种类的有机肥翻抛。,WANG GUOQUAN; 汪国全,WANG GUOQUAN; 汪国全,1
CN336225121,16.12.2020,03.09.2021,CN,翻抛机行走装置,本申请涉及一种翻抛机行走装置，包括门形架，所述门形架的两端均设置有楼梯，所述楼梯包括倾斜固定于所述门形架上端的固定梯，所述固定梯的底端铰接设置有活动梯，所述固定梯和所述活动梯的铰接处设置有用于锁止所述活动梯的锁止组件，所述固定梯的顶端和所述活动梯的底端之间设置有固定组件，当所述活动梯与所述固定梯相互折叠时，所述固定组件用于固定所述活动梯。本申请可以将活动梯和固定梯翻转折叠在一起，具有活动梯不容易搅到泥土的效果。,"WUHAN XIHAO ENVIRONMENTAL PROTECTION CO., LTD.; 武汉市熙昊环保有限责任公司",LI YAN; 李艳; PENG XIAOLI; 彭小丽; WANG SANJUN; 王三军; LIN YOUYOU; 林幼幼; LI HONGYANG; 李红阳,1
CN373444253,21.04.2022,26.08.2022,CN,自返料牛床垫料再生系统,本实用新型公开了自返料牛床垫料再生系统，包括依次连通的固液分离系统、立式辅助加热系统、填料螺旋、发酵滚筒、出料通道；发酵滚筒内设有返料装置，且返料装置从发酵滚筒的出料端吸入物料并送到发酵滚筒的进料端。本实用新型将奶牛粪经过固液分离系统处理，分离出来的固体通过立式辅助加热系统进行物料升温，达到好氧菌适宜繁殖温度，加快发酵过程，提高生产效率，物料温度升至好氧菌剂适宜温度后，通过填料螺旋送入发酵滚筒中进行发酵，部分发酵后的产物再通过返料装置送到发酵滚筒的进料端与后续物料混合进行发酵，因发酵后产物中含超高温好氧菌，与发酵滚筒前端进料混合，好氧菌快速繁殖，加快好氧发酵过程。,"ZHONGNONG CHUANGDA (BEIJING) ENVIRONMENTAL PROTECTION TECHNOLOGY CO., LTD.; 中农创达（北京）环保科技有限公司; ZHONGNONG CHUANGDA (INNER MONGOLIA) SOIL REMEDIATION TECHNOLOGY CO., LTD.; 中农创达（内蒙古）土壤修复科技有限公司",YANG YANG; 杨阳; HOU ZHENHUA; 侯振华; HOU LEI; 侯磊; FU JINTAO; 付锦涛; TIAN YUCONG; 田玉聪; MA RUIQIANG; 马瑞强,0
